Key,Id,English(en),Spanish(es)
BTN_START,1,START,INICIAR
BTN_OPTIONS,2,OPTIONS,OPCIONES
BTN_ABOUT,3,ABOUT,ACERCA DE
BTN_EXIT,4,EXIT,SALIR
TITLE_LOGIN,5,Give me your name noob,Dame tu nombre novato
HINT_LOGIN,6,Nickname,Nombre
BTN_CONTINUE,7,Continue,Continuar
ONLINE,8,You are connected,Te has conectado
MUSIC_VOLUME,9,Music Volume,Volumen de la música
SOUND_VOLUME,10,Sound Volume,Volumen del juego
SERVER_IP,11,Server IP,IP del Servidor
CHECK_SERVER,12,Check Server,Probar Servidor
DIALOG_BAD_ADDRESS,13,This is not a valid IP,El IP no es real
DIALOG_BAD_NAME,14,There are not valid characters on your nickname,Hay caracteres no válidos en tu nombre
ALERT,15,ALERT!,ALERTA!
INVENTARY,16,Inventary,Inventario
ATACK,17,Atack!,Atacar!
ACTION,18,Action,Accionar
NOTIFICATION,19,Notification,Mensaje
BATTLE_CONFIRMATION,20,You are been invoke,Has sido invocado
IS_INVOKE,21, A player is invoking you to a duel. Do you agree?, Un jugador te convoca a pelear. Aceptas?
OFFLINE,22,You are disconnected,Te has desconectado
SAVES_RESET,23,Reset Saves,Eliminar Salvas
BTN_ACCEPT,24,Accept,Aceptar
BTN_CANCEL,25,Cancel,Cancelar
BTN_RETRAY,26,Retray,Reintentar
BTN_SELECT_CLASS,27,Select your class,Selecciona tu clase
WARRIOR,28,Melee,Cerca
ARCHER,29,Distance,A distancia
THIEF,30,Slippery,Escurridizo
DIALOG_NOT_CLASS_SELECTED,31,Select a class,Selecciona una clase
DIALOG_ARE_YOU_READY,32,Are you ready?,Estás listo?
CRITIC,33,Critic!!!,Crítico!!!
MISS,34,Miss,Falló
CINE_1,35,-Hello who's there?, Hola quién está ahí?
CINE_2,37,-Oh! You are a young gentleman from the physical world.,-Ah! Eres un joven caballero del mundo físico.
CINE_3,38,-My name is Rock. I assume you're here for the village feud.,-Mi nombre es Roco. Asumo que vienes por la contienda de la aldea.
CINE_4,39,-Oh no?! Are you only interested in fighting? That's crazy!!! Or not?,-Ah no?! Solo te interesa pelear??? Qué loco!!! O no?
CINE_5,40,-Everyone!! they want to save the color. Pffff! What nonsense!,-Todos!! quieren salvar el color. Pufff! Qué tontería!
CINE_6,41,-This world has no solution. Everything is black or white.,-Este mundo ya no tiene solución. Todo es blanco o negro.
CINE_7,42,-I'm not interested in color. Or am I interested?,-A mí no me interesa el color. O sí me interesa!?
CINE_8,43,-No no no... Yes!!!,-No no no ... Sí!!!
CINE_9,44,-Let's make a Deal. Bring me color and I'll get you a very strong opponent. Or not?!,-Hagamos un trato. Tráeme color y te conseguiré un oponente muy fuerte. O no?!
CINE_10,45,-Yes bring me color.,-Sí traéme color.
CINE_11,46,-I'm a good soul... Or am I?! HA HA HA HA HA HA HA....,-Soy una buena alma ... O no?!  JA JA JA JA ja ja ja....
WIN_BATTLE,47,Good Victory!!!,Buena Victoria!!!
LOSE_BATTLE,48,You lose,Has perdido
BUY_HEALTH,49,Buy health potion,Comprar poción de vida
TUTO,50,Use arrow keys to move and mouse click to interact. You most be close to the objects.,Usa las flechas para moverte y click para interactuar. Debes estar cerca de los objetos
